request_id,purchase_type,amount,department,request_date,approval_route,total_time_hours,return_count,rejection_reason,clarification_count,final_status
11840,IT,122395.11,Operations,2026-01-01,Manager → IT → Finance → Procurement,32.58,0,,0,Одобрена
14836,IT,74122.32,IT,2026-01-01,Manager → IT → Finance → Procurement,20.05,0,,0,Одобрена
10051,Простая,21221.29,Marketing,2026-01-01,Manager → Procurement,2.06,0,,0,Одобрена
10323,Простая,45692.7,Operations,2026-01-01,Manager → Procurement,8.47,0,,0,Одобрена
11909,IT,72543.36,Administration,2026-01-01,Manager → IT → Finance → Procurement,14.88,0,,1,Одобрена
10329,IT,131882.94,Sales,2026-01-01,Manager → IT → Finance → Procurement,25.64,0,,0,Одобрена
13819,IT,242572.94,Operations,2026-01-01,Manager → IT → Finance → Procurement,43.39,1,,3,Одобрена
10231,Простая,6002.31,Operations,2026-01-01,Manager → Procurement,10.27,0,Недостаточно бюджета,0,Отклонена
10436,Простая,12140.94,IT,2026-01-01,Manager → Procurement,2.7,0,,0,Одобрена
10102,IT,123163.84,Marketing,2026-01-01,Manager → IT → Finance → Procurement,42.42,0,,0,Одобрена
10885,Простая,36287.98,Sales,2026-01-01,Manager → Procurement,16.4,0,,0,Одобрена
11355,Юридическая,364573.83,Marketing,2026-01-01,Manager → Finance → Legal → Procurement,92.63,0,,0,Одобрена
13554,IT,150740.69,Finance,2026-01-01,Manager → IT → Finance → Procurement,42.47,0,,1,Одобрена
14982,Простая,3914.68,IT,2026-01-01,Manager → Procurement,10.68,0,,1,Одобрена
10390,Юридическая,2000000.0,Administration,2026-01-01,Manager → Finance → Legal → Procurement,1.0,0,,0,Одобрена
11997,Простая,18787.95,Finance,2026-01-01,Manager → Procurement,4.5,0,,0,Одобрена
13350,Простая,6470.39,IT,2026-01-02,Manager → Procurement,14.59,0,Некорректные данные,1,Отклонена
10484,Простая,6525.92,Sales,2026-01-02,Manager → Procurement,10.42,0,,0,Одобрена
11395,IT,95072.2,HR,2026-01-02,Manager → IT → Finance → Procurement,48.01,0,,0,Одобрена
10652,Юридическая,181693.35,Sales,2026-01-02,Manager → Finance → Legal → Procurement,65.7,0,Юридические риски,1,Отклонена
14793,Простая,16116.46,IT,2026-01-02,Manager → Procurement,6.96,0,,0,Одобрена
12413,Простая,8440.55,IT,2026-01-02,Manager → Procurement,5.18,0,,1,Одобрена
13748,Юридическая,496620.38,Operations,2026-01-02,Manager → Finance → Legal → Procurement,87.48,0,Юридические риски,0,Отклонена
12255,Юридическая,180610.16,Sales,2026-01-02,Manager → Finance → Legal → Procurement,23.52,0,,0,Одобрена
10426,IT,78798.57,HR,2026-01-02,Manager → IT → Finance → Procurement,37.97,0,,0,Одобрена
10862,IT,116890.5,IT,2026-01-02,Manager → IT → Finance → Procurement,19.83,0,,0,Одобрена
13629,IT,132235.03,Sales,2026-01-02,Manager → IT → Finance → Procurement,37.33,0,,1,В процессе
13220,Простая,39724.47,Operations,2026-01-02,Manager → Procurement,11.11,0,,0,Одобрена
12920,IT,78373.21,Sales,2026-01-02,Manager → IT → Finance → Procurement,52.4,1,,1,Одобрена
11437,Простая,13345.17,Sales,2026-01-02,Manager → Procurement,9.38,0,,1,Одобрена
11441,Простая,36785.75,Sales,2026-01-02,Manager → Procurement,3.09,0,,0,Одобрена
14516,Простая,39433.64,Administration,2026-01-02,Manager → Procurement,6.89,0,,0,Одобрена
12635,IT,86698.44,IT,2026-01-02,Manager → IT → Finance → Procurement,16.08,0,,0,Одобрена
13016,IT,119044.2,Marketing,2026-01-02,Manager → IT → Finance → Procurement,7.72,0,,0,Одобрена
14167,Простая,24140.67,HR,2026-01-02,Manager → Procurement,13.22,0,,1,Одобрена
14219,Юридическая,414225.36,Operations,2026-01-02,Manager → Finance → Legal → Procurement,65.71,0,,0,Одобрена
14725,Простая,18832.23,HR,2026-01-03,Manager → Procurement,31.45,2,Недостаточно бюджета,4,Отклонена
13572,Простая,20982.51,Administration,2026-01-03,Manager → Procurement,6.49,0,,0,В процессе
12517,Простая,19720.58,Operations,2026-01-03,Manager → Procurement,9.2,0,,0,Одобрена
10282,Простая,9687.87,Marketing,2026-01-03,Manager → Procurement,6.13,0,,0,Одобрена
11581,Юридическая,115326.01,Operations,2026-01-03,Manager → Finance → Legal → Procurement,34.25,0,,1,Одобрена
13473,IT,50810.58,Sales,2026-01-03,Manager → IT → Finance → Procurement,28.56,0,,1,Одобрена
11401,Простая,13992.98,IT,2026-01-03,Manager → Procurement,1.0,0,,0,Одобрена
13501,Простая,9670.61,IT,2026-01-03,Manager → Procurement,16.24,0,,0,Одобрена
10668,Юридическая,1043233.96,Operations,2026-01-03,Manager → Finance → Legal → Procurement,62.06,0,,1,Одобрена
14367,Простая,19699.03,Finance,2026-01-03,Manager → Procurement,40.04,2,,4,Одобрена
12334,Простая,13045.78,Finance,2026-01-04,Manager → Procurement,3.49,0,,0,Одобрена
13567,Юридическая,211311.3,Operations,2026-01-04,Manager → Finance → Legal → Procurement,83.72,0,,0,Одобрена
11299,IT,50634.64,Marketing,2026-01-04,Manager → IT → Finance → Procurement,61.85,1,,3,Одобрена
10294,Простая,21873.22,Finance,2026-01-04,Manager → Procurement,11.74,0,Недостаточно бюджета,0,Отклонена
10157,Простая,6498.7,Marketing,2026-01-04,Manager → Procurement,5.26,0,,0,Одобрена
14415,Простая,9062.39,Operations,2026-01-04,Manager → Procurement,12.01,0,,0,Одобрена
11239,Простая,17716.19,Operations,2026-01-04,Manager → Procurement,8.15,0,,0,Одобрена
12618,Юридическая,268450.48,Finance,2026-01-04,Manager → Finance → Legal → Procurement,125.07,3,,3,Одобрена
10230,Простая,40368.99,Marketing,2026-01-04,Manager → Procurement,1.0,0,,0,Одобрена
11689,IT,63508.85,HR,2026-01-04,Manager → IT → Finance → Procurement,73.15,2,,4,Одобрена
14627,IT,219876.39,Marketing,2026-01-04,Manager → IT → Finance → Procurement,44.46,1,Недостаточно бюджета,3,Отклонена
10422,Простая,50000.0,Sales,2026-01-04,Manager → Procurement,11.3,0,,0,Одобрена
14848,IT,30000.0,Sales,2026-01-04,Manager → IT → Finance → Procurement,35.94,0,,0,Одобрена
13535,IT,234129.82,Finance,2026-01-04,Manager → IT → Finance → Procurement,66.18,0,,0,Одобрена
14715,IT,100132.41,IT,2026-01-04,Manager → IT → Finance → Procurement,45.13,0,,0,Одобрена
12381,IT,293056.36,Sales,2026-01-04,Manager → IT → Finance → Procurement,1.0,0,,0,Одобрена
14277,Простая,13916.61,Operations,2026-01-05,Manager → Procurement,19.53,2,,3,Одобрена
10945,Простая,25308.42,IT,2026-01-05,Manager → Procurement,16.87,0,,1,Одобрена
13780,Юридическая,1500433.86,Marketing,2026-01-05,Manager → Finance → Legal → Procurement,81.94,0,,0,Одобрена
13538,IT,136007.14,Administration,2026-01-05,Manager → IT → Finance → Procurement,25.83,0,,0,Одобрена
14615,Простая,13865.57,IT,2026-01-05,Manager → Procurement,7.65,0,,0,Одобрена
14748,IT,135559.55,Operations,2026-01-05,Manager → IT → Finance → Procurement,32.63,0,,0,Одобрена
12947,Простая,17708.38,Administration,2026-01-05,Manager → Procurement,2.58,0,,0,Одобрена
10254,Простая,50000.0,Operations,2026-01-05,Manager → Procurement,7.89,0,,1,Одобрена
14374,Простая,28890.11,Administration,2026-01-05,Manager → Procurement,5.02,0,,0,Одобрена
12311,Юридическая,2000000.0,Sales,2026-01-05,Manager → Finance → Legal → Procurement,38.54,1,,3,Одобрена
14454,IT,247237.45,Finance,2026-01-05,Manager → IT → Finance → Procurement,40.48,0,,0,Одобрена
12979,IT,211584.92,Administration,2026-01-05,Manager → IT → Finance → Procurement,10.29,0,,0,Одобрена
11411,IT,71567.34,IT,2026-01-05,Manager → IT → Finance → Procurement,17.15,0,,0,Одобрена
12994,IT,246147.58,Operations,2026-01-06,Manager → IT → Finance → Procurement,39.54,0,,0,Одобрена
10760,Простая,5277.89,IT,2026-01-06,Manager → Procurement,11.77,0,,1,Одобрена
10926,Простая,11755.83,IT,2026-01-06,Manager → Procurement,22.75,1,Не согласовано руководителем,3,Отклонена
10114,IT,142851.57,Administration,2026-01-06,Manager → IT → Finance → Procurement,19.6,0,,0,Одобрена
13680,Простая,5468.61,Finance,2026-01-06,Manager → Procurement,13.7,0,,0,Одобрена
14645,Простая,19992.98,Operations,2026-01-06,Manager → Procurement,13.91,0,,0,Одобрена
10301,IT,256890.98,HR,2026-01-06,Manager → IT → Finance → Procurement,17.26,0,,0,Одобрена
11635,Юридическая,187160.75,Operations,2026-01-06,Manager → Finance → Legal → Procurement,47.25,0,,0,Одобрена
